2026-03-15 01:58:02,516 | INFO | database.db | SQLite initialized with WAL, busy_timeout and indexes
2026-03-15 01:58:02,518 | INFO | __main__ | Bot started
2026-03-15 01:58:02,578 | INFO | aiogram.dispatcher | Start polling
2026-03-15 01:58:02,941 | INFO | aiogram.dispatcher | Run polling for bot @Guide_os_bot id=8638104397 - 'Guide OS'
2026-03-15 01:59:09,412 | INFO | database.db | SQLite initialized with WAL, busy_timeout and indexes
2026-03-15 01:59:09,414 | INFO | __main__ | Bot started
2026-03-15 01:59:09,461 | INFO | aiogram.dispatcher | Start polling
2026-03-15 01:59:09,803 | INFO | aiogram.dispatcher | Run polling for bot @Guide_os_bot id=8638104397 - 'Guide OS'
2026-03-15 01:59:36,464 | INFO | handlers.calendar | User 694022 opened calendar entry
2026-03-15 01:59:36,838 | INFO | aiogram.event | Update id=260354781 is handled. Duration 385 ms by bot id=8638104397
2026-03-15 01:59:48,600 | INFO | handlers.calendar | User 694022 opened month calendar: 2026-04
2026-03-15 01:59:48,877 | INFO | aiogram.event | Update id=260354782 is handled. Duration 280 ms by bot id=8638104397
2026-03-15 01:59:50,908 | INFO | handlers.calendar | User 694022 opened free days: 2026-04
2026-03-15 01:59:51,154 | INFO | aiogram.event | Update id=260354783 is handled. Duration 247 ms by bot id=8638104397
2026-03-15 01:59:53,669 | INFO | aiogram.event | Update id=260354784 is handled. Duration 256 ms by bot id=8638104397
2026-03-15 01:59:55,291 | INFO | handlers.calendar | User 694022 opened month calendar: 2026-05
2026-03-15 01:59:55,566 | INFO | aiogram.event | Update id=260354785 is handled. Duration 277 ms by bot id=8638104397
2026-03-15 02:00:00,972 | INFO | handlers.calendar | User 694022 opened calendar entry
2026-03-15 02:00:01,124 | INFO | aiogram.event | Update id=260354786 is handled. Duration 155 ms by bot id=8638104397
2026-03-15 02:00:03,290 | INFO | handlers.calendar | User 694022 opened month calendar: 2026-03
2026-03-15 02:00:03,592 | INFO | aiogram.event | Update id=260354787 is handled. Duration 304 ms by bot id=8638104397
2026-03-15 02:00:06,509 | INFO | handlers.add_tour | User 694022 started add_tour flow
2026-03-15 02:00:06,712 | INFO | aiogram.event | Update id=260354788 is handled. Duration 203 ms by bot id=8638104397
2026-03-15 02:00:13,376 | WARNING | handlers.add_tour | User 694022 entered invalid date input: '12 june'
2026-03-15 02:00:13,509 | INFO | aiogram.event | Update id=260354789 is handled. Duration 136 ms by bot id=8638104397
2026-03-15 02:00:25,554 | INFO | aiogram.event | Update id=260354790 is handled. Duration 140 ms by bot id=8638104397
2026-03-15 02:00:28,034 | INFO | aiogram.event | Update id=260354791 is handled. Duration 150 ms by bot id=8638104397
2026-03-15 02:00:28,989 | INFO | aiogram.event | Update id=260354792 is handled. Duration 140 ms by bot id=8638104397
2026-03-15 02:00:31,315 | INFO | aiogram.event | Update id=260354793 is handled. Duration 140 ms by bot id=8638104397
2026-03-15 02:00:34,287 | INFO | aiogram.event | Update id=260354794 is handled. Duration 170 ms by bot id=8638104397
2026-03-15 02:00:38,038 | INFO | handlers.add_tour | User 694022 saving tour: company='sdklj' city='sdf' date_text='12/07' status='reserved' income=100
2026-03-15 02:00:38,192 | INFO | aiogram.event | Update id=260354795 is handled. Duration 163 ms by bot id=8638104397
2026-03-15 02:40:38,426 | INFO | database.db | SQLite initialized with WAL, busy_timeout and indexes
2026-03-15 02:40:38,428 | INFO | __main__ | Bot started
2026-03-15 02:40:38,492 | INFO | aiogram.dispatcher | Start polling
2026-03-15 02:40:38,825 | INFO | aiogram.dispatcher | Run polling for bot @Guide_os_bot id=8638104397 - 'Guide OS'
2026-03-15 02:40:41,149 | INFO | aiogram.event | Update id=260354796 is handled. Duration 382 ms by bot id=8638104397
2026-03-15 02:40:43,326 | INFO | aiogram.event | Update id=260354797 is handled. Duration 186 ms by bot id=8638104397
2026-03-15 03:04:00,825 | INFO | database.db | SQLite initialized with WAL, busy_timeout and indexes
2026-03-15 03:04:00,826 | INFO | __main__ | Bot started
2026-03-15 03:04:00,901 | INFO | aiogram.dispatcher | Start polling
2026-03-15 03:04:01,241 | INFO | aiogram.dispatcher | Run polling for bot @Guide_os_bot id=8638104397 - 'Guide OS'
2026-03-15 03:04:08,358 | INFO | handlers.start | User 694022 started the bot
2026-03-15 03:04:08,709 | INFO | aiogram.event | Update id=260354798 is handled. Duration 350 ms by bot id=8638104397
2026-03-15 03:04:47,063 | INFO | handlers.start | User 694022 started the bot
2026-03-15 03:04:47,195 | INFO | aiogram.event | Update id=260354799 is handled. Duration 131 ms by bot id=8638104397
